"Status","Name","Duration in ms","Description"
"passed","jetbrains.buildServer.tests.web.SidebarTest.collapse controls should work correctly","8203",""
"passed","jetbrains.buildServer.tests.web.TabsTest.Verify project tab panel","11295",""
"passed","jetbrains.buildServer.tests.web.StatisticsTabTest.Add chart button exists for admin","6380",""
"passed","jetbrains.buildServer.tests.web.AddToFavoritesTest.add project to favorite should affect sidebar","10740",""
"passed","jetbrains.buildServer.tests.web.PendingBranchesTest.branches tab should show new branch without manual page reload","92760",""
"passed","jetbrains.buildServer.tests.web.AgentHistoryPageTest.build list should contain builds with paths and number of builds should be correct","9585",""
"passed","jetbrains.buildServer.tests.web.AgentHistoryPageTest.number of builds is correct","11105",""
"passed","jetbrains.buildServer.tests.web.AllBuildsPageTest.number of builds is correct","10357",""
"passed","jetbrains.buildServer.tests.web.MyFavoritesPageTest.build list should contain builds with paths and number of builds should be correct","5877",""
"passed","jetbrains.buildServer.tests.web.StatisticsTabTest.Add chart button doesn't exist for non-admin","11016",""
"passed","jetbrains.buildServer.tests.web.AddToFavoritesTest.add sub project to favorite should affect sidebar","7979",""
"passed","jetbrains.buildServer.tests.web.BuildConfigurationCardTest.build configuration card shows extra information on hover","8392",""
"passed","jetbrains.buildServer.tests.web.TemporaryUserDemoTest.dummy test shows temporary user annotation usage","11665",""
"passed","jetbrains.buildServer.tests.web.SidebarSearchTest.search should work correctly","15645",""
"passed","jetbrains.buildServer.tests.web.AllBuildsPageTest.build list should contain builds with paths and number of builds should be correct","7057",""
"passed","jetbrains.buildServer.tests.web.MyFavoritesPageTest.number of builds is correct","6707",""
